specimen_id,country,unique_countries,specimen_count
cicindelidae_34_6_12_tray_12_spec_007,Brazil,,
cicindelidae_34_6_12_tray_12_spec_008,Brazil,,
cicindelidae_34_6_12_tray_12_spec_009,Brazil,,
cicindelidae_34_6_12_tray_12_spec_011,Brazil,,
cicindelidae_34_6_12_tray_12_spec_012,Brazil,,
cicindelidae_34_6_12_tray_12_spec_014,Brazil,,
cicindelidae_34_6_12_tray_12_spec_018,Brazil,,
cicindelidae_34_6_12_tray_12_spec_021,Brazil,,
cicindelidae_34_6_12_tray_18_spec_001,Brazil,,
cicindelidae_34_6_12_tray_18_spec_002,Brazil,,
cicindelidae_34_6_12_tray_18_spec_003,Brazil,,
cicindelidae_34_6_12_tray_18_spec_004,Brazil,,
cicindelidae_34_6_12_tray_18_spec_005,Brazil,,
cicindelidae_34_6_12_tray_18_spec_006,Brazil,,
cicindelidae_34_6_12_tray_18_spec_007,Brazil,,
cicindelidae_34_6_12_tray_18_spec_008,Brazil,,
cicindelidae_34_6_12_tray_18_spec_009,Brazil,,
cicindelidae_34_6_12_tray_18_spec_011,Brazil,,
cicindelidae_34_6_12_tray_18_spec_012,Brazil,,
cicindelidae_34_6_12_tray_18_spec_014,Brazil,,
cicindelidae_34_6_12_tray_18_spec_015,Brazil,,
cicindelidae_34_6_12_tray_18_spec_016,Brazil,,
cicindelidae_34_6_12_tray_18_spec_017,Brazil,,
cicindelidae_34_6_12_tray_18_spec_018,Brazil,,
cicindelidae_34_6_12_tray_18_spec_019,Brazil,,
cicindelidae_34_6_12_tray_18_spec_020,Brazil,,
cicindelidae_34_6_12_tray_18_spec_021,Brazil,,
cicindelidae_34_6_13_tray_04_spec_006,Brazil,,
cicindelidae_34_6_13_tray_04_spec_007,Brazil,,
cicindelidae_34_6_13_tray_04_spec_008,Brazil,,
cicindelidae_34_6_13_tray_04_spec_021,Brazil,,
cicindelidae_34_6_13_tray_04_spec_022,Brazil,,
cicindelidae_34_6_14_tray_20_spec_002,Brazil,,
cicindelidae_34_6_14_tray_31_spec_001,Brazil,,
cicindelidae_34_6_5_tray_19_spec_002,Brazil,,
cicindelidae_34_6_9_tray_01_spec_001,Brazil,,
cicindelidae_34_6_9_tray_01_spec_002,Brazil,,
cicindelidae_34_6_9_tray_01_spec_003,Brazil,,
cicindelidae_34_6_9_tray_01_spec_004,Brazil,,
cicindelidae_34_6_9_tray_01_spec_007,Brazil,,
cicindelidae_34_6_9_tray_01_spec_012,Brazil,,
cicindelidae_34_6_9_tray_01_spec_016,Brazil,,
cicindelidae_34_6_9_tray_01_spec_017,Brazil,,
cicindelidae_34_6_9_tray_01_spec_018,Brazil,,
cicindelidae_34_6_9_tray_01_spec_022,Brazil,,
cicindelidae_34_6_9_tray_01_spec_023,Brazil,,
cicindelidae_34_6_9_tray_06_spec_001,Brazil,,
cicindelidae_34_6_9_tray_06_spec_002,Brazil,,
cicindelidae_34_6_9_tray_06_spec_003,Brazil,,
cicindelidae_34_6_9_tray_06_spec_004,Brazil,,
cicindelidae_34_6_9_tray_06_spec_005,Brazil,,
cicindelidae_34_6_9_tray_06_spec_006,Brazil,,
cicindelidae_34_6_9_tray_06_spec_007,Brazil,,
cicindelidae_34_6_9_tray_06_spec_008,Brazil,,
cicindelidae_34_6_9_tray_06_spec_009,Brazil,,
cicindelidae_34_6_9_tray_06_spec_010,Brazil,,
cicindelidae_34_6_9_tray_06_spec_011,Brazil,,
cicindelidae_34_6_9_tray_06_spec_012,Brazil,,
cicindelidae_34_6_9_tray_06_spec_013,Brazil,,
cicindelidae_34_6_9_tray_06_spec_014,Brazil,,
cicindelidae_34_6_9_tray_06_spec_015,Brazil,,
cicindelidae_34_6_9_tray_06_spec_016,Brazil,,
cicindelidae_34_6_9_tray_07_spec_001,Brazil,,
cicindelidae_34_6_9_tray_07_spec_003,Brazil,,
cicindelidae_34_6_9_tray_07_spec_004,Brazil,,
cicindelidae_34_6_9_tray_07_spec_005,Brazil,,
cicindelidae_34_6_9_tray_07_spec_010,Brazil,,
cicindelidae_34_6_9_tray_07_spec_011,Brazil,,
cicindelidae_34_6_9_tray_07_spec_012,Brazil,,
cicindelidae_34_6_9_tray_07_spec_013,Brazil,,
cicindelidae_34_6_9_tray_07_spec_014,Brazil,,
